recording_id,source_url,owner_creator,licence_consent,acquisition_date,orig_start,orig_end,duration_s,languages,speakers,privacy_risk,source_group,status,wav_sha256,notes
J26DS313_R0002,recorded_by_team,Amashi & Osadi,consent_signed_fictional_content,2026-07-25,0.00,66.84,66.84,SI+EN,2,high,team_recordings,VALIDATED,cd334b86e7f781313bcc9c615624ece70fd7139b38a29ceeac55d095b0a327e1,Call 1 bank-card script; token times PROVISIONAL (need alignment); summary is draft
J26DS313_R0003,recorded_by_team,Amashi & Osadi,consent_signed_fictional_content,2026-07-25,0.00,45.33,45.33,SI+EN,2,high,team_recordings,VALIDATED,e65755fbf353eae7a02b2de1e6e53f15d6208c9f42f9781d400716046eb0808f,Nawaloka clinic-booking script; token times PROVISIONAL; summary draft; confirm numbers by ear
J26DS313_R0004,recorded_by_team,team (Segment 1 trip script),consent_signed_real_speakers,2026-07-25,0.00,41.15,41.15,SI+EN,4,high,team_pilot_S001,VALIDATED,c009a72ba46ac29b74e0974d330e87cf2625ea9b3f24e8ed9103bd46ab2a6964,"Trip-planning (Segment 1 script); 4 speakers S1=Osadi S2=Amashi S3=Rumeth S4=Sathmina from script; Borella/Ella kept as public LOCATION (confirm policy); summary human-authored by Vithanage; C3 layer human-annotated by ear in Audacity (12 turns, 4 spk, 0.84s overlap 14.72-15.56, 3 acknowledgments in events.jsonl) - supersedes earlier transcript-derived C3 draft; tail speaker resolved"
J26DS313_R0005,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,53.61,53.61,SI+EN,4,high,team_pilot_S001,VALIDATED,f80f608453a75f4b3327a403cdd2040f587f7096422f47b48d93134c6f9b2e8e,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (18 turns, 4 spk, 0 overlaps, 4 acknowledgments in events.jsonl); C1/C2/C4 not started; source file Segment-2.wav"
J26DS313_R0006,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,86.04,86.04,SI+EN,4,high,team_pilot_S001,VALIDATED,9ef2592c2559f1bb8ffe72b022a87e6dfccd15bad7c1badcf3340582a1280e63,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (21 turns, 4 spk, 0 overlaps, 0 back-channels, 0 acknowledgments); C1/C2/C4 not started; source file Segment-3.wav"
J26DS313_R0007,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,59.75,59.75,SI+EN,4,high,team_pilot_S001,VALIDATED,00a182c5c0806bc372ce2f4b77fbb4b67e87e977b89d823c5dde3988c2dc8068,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (22 turns, 4 spk, 1 overlap 26.20-26.66, 0 back-channels, 0 acknowledgments); C1/C2/C4 not started; source file Segment-4.wav"
J26DS313_R0008,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,62.48,62.48,SI+EN,4,high,team_pilot_S001,ANNOTATED_DRAFT,95d907abecf911704044aa65ded63942c35cb5d4bae3d52a7ebac55a02d7cf03,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (17 turns, 4 spk, 2 overlaps, 1 back-channel 51.55-52.29 under spk04, 2 acknowledgments); C1/C2/C4 not started; source file Segment-5.wav"
J26DS313_R0009,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,42.86,42.86,SI+EN,4,high,team_pilot_S001,VALIDATED,6113508c7a9165dceaf3c427dcf0d3d205ec42da245f33346db440ef511acad6,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (13 turns, 4 spk, 0 overlaps, 0 back-channels, 1 acknowledgment); C1/C2/C4 not started; source file Segment-6.wav"
J26DS313_R0010,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-07-25,0.00,40.38,40.38,SI+EN,4,high,team_pilot_S001,VALIDATED,15163144ba70ca718ea55b5a7f64231656c088fefc786365b075d7d2d2944a5b,"C3 layer only (RTTM+UEM+events), human-annotated by ear in Audacity (15 turns, 4 spk, 1 overlap 32.62-33.27, 1 back-channel under spk04, 1 acknowledgment); C1/C2/C4 not started; source file Segment-7.wav"
J26DS313_R0011,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-04,0.00,99.18,99.18,SI+EN,3,high,FILL_IN,VALIDATED,852446dedf4c1224e578ecf0251f5e4cb66ed68b0568a801a6e4966459a4207e,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
