clip_path,recording,utt_id,start,end,duration_s,text
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u001.wav,J26DS313_R0002,J26DS313_R0002_u001,1.19,4.98,3.78,hello sampath bank customer care amashi speaking kohomada help karanne
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u002.wav,J26DS313_R0002,J26DS313_R0002_u002,5.68,9.82,4.14,aiyo mage card eka nathi una me block karanna oni ikmanata
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u004.wav,J26DS313_R0002,J26DS313_R0002_u004,11.06,12.77,1.71,Osadi fernando NIC eka oneda
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u005.wav,J26DS313_R0002,J26DS313_R0002_u005,14.24,15.29,1.05,ow NIC ekath denna
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u006.wav,J26DS313_R0002,J26DS313_R0002_u006,16.66,18.03,1.35,9 5 3 2 0 1 4 5 6 v
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u008.wav,J26DS313_R0002,J26DS313_R0002_u008,24.22,27.47,3.15,inna 7 4 5 0 3 8 2 9 9 4 2 5
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u009.wav,J26DS313_R0002,J26DS313_R0002_u009,34.5,37.23,2.7,register karapu number eka 0 7 7 1 2 3 4 5 6 7 da
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u010.wav,J26DS313_R0002,J26DS313_R0002_u010,41.28,47.52,6.24,ah ow ow ehamai me mage date of birth eka oneda
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u013.wav,J26DS313_R0002,J26DS313_R0002_u013,56.66,61.96,5.28,hari card eka block kara new card eka number 24 galle road dehiwala address ekata ewanawa
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0002_u014.wav,J26DS313_R0002,J26DS313_R0002_u014,62.74,64.59,1.83,ane thank you so much amashi
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u001.wav,J26DS313_R0003,J26DS313_R0003_u001,0.74,5.0,4.26,"Hello, Nawaloka Hospital Appointments, obata sahaya wanne keseda?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u002.wav,J26DS313_R0003,J26DS313_R0003_u002,5.8,7.96,2.16,Mata Dr. Nimal Perera channel karanna one.
