recording_id,split,script_group,has_audio,duration_s,n_tokens,n_si_native,n_si_latin,speakers,status,source_group
J26DS313_R0002,train,romanized,true,66.84,114,0,81,2,VALIDATED,team_recordings
J26DS313_R0003,train,romanized,true,45.33,70,0,64,2,VALIDATED,team_recordings
J26DS313_R0004,train,romanized,true,41.15,75,0,75,4,VALIDATED,team_pilot_S001
J26DS313_R0005,train,native,true,53.61,83,55,27,4,VALIDATED,team_pilot_S001
J26DS313_R0006,train,native,true,86.04,108,102,3,4,VALIDATED,team_pilot_S001
J26DS313_R0008,train,native,true,62.48,22,19,1,4,VALIDATED,team_pilot_S001
J26DS313_R0009,train,native,true,42.86,67,67,0,4,VALIDATED,team_pilot_S001
J26DS313_R0010,eval,native,true,40.38,62,57,5,4,VALIDATED,team_pilot_S001
J26DS313_R0011,train,native,true,99.18,211,132,74,3,VALIDATED,FILL_IN
J26DS313_R0012,eval,native,true,107.11,202,84,112,3,VALIDATED,FILL_IN
J26DS313_R0013,train,native,true,96.87,189,87,96,3,VALIDATED,FILL_IN
J26DS313_R0014,eval,romanized,true,90.90,177,0,172,3,VALIDATED,FILL_IN
J26DS313_R0015,train,native,true,150.46,278,183,91,3,VALIDATED,FILL_IN
J26DS313_R0016,train,native,true,110.61,238,150,82,3,VALIDATED,FILL_IN
J26DS313_R0017,train,romanized,true,151.06,251,0,241,3,VALIDATED,FILL_IN
J26DS313_R0018,train,mixed,true,156.44,260,9,243,3,VALIDATED,FILL_IN
J26DS313_R0019,eval,native,true,169.64,398,174,188,3,VALIDATED,FILL_IN
J26DS313_R0020,eval,native,true,161.71,335,173,116,3,VALIDATED,FILL_IN
J26DS313_R0021,train,native,true,204.12,355,223,123,3,VALIDATED,FILL_IN
J26DS313_R0022,train,native,true,186.64,291,166,116,3,VALIDATED,FILL_IN
J26DS313_R0023,eval,romanized,true,141.67,215,0,202,3,VALIDATED,FILL_IN
J26DS313_R0024,train,romanized,true,150.63,249,0,239,3,VALIDATED,FILL_IN
J26DS313_R0025,eval,native,true,222.98,416,221,160,3,VALIDATED,FILL_IN
J26DS313_R0026,train,native,true,127.40,259,141,109,3,VALIDATED,FILL_IN
J26DS313_R0027,train,native,true,266.12,711,592,113,6,VALIDATED,FILL_IN
J26DS313_R0028,train,romanized,true,37.62,81,0,81,3,VALIDATED,FILL_IN
